time,service_id,path_nodes,path_links,path_delay,path_loss,bottleneck_node,bottleneck_link
89,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,60.42488,0.007793,cloud_0,access_1-edge_4
89,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,64.58181,0.005685,cloud_0,access_0-edge_1
90,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,63.49198,0.009283,cloud_0,edge_2-cloud_0
90,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,63.31502,0.010239,cloud_0,access_1-edge_4
90,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,62.92676,0.00984,cloud_0,access_0-edge_1
91,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,63.73653,0.005495,cloud_0,access_0-edge_2
91,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,64.26501,0.002509,cloud_0,access_1-edge_4
91,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,59.67969,0.003597,cloud_0,access_0-edge_1
92,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,66.66723,0.0025,cloud_0,edge_2-cloud_0
92,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,63.65415,0.005742,cloud_0,access_1-edge_4
92,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,66.91989,0.008228,cloud_0,edge_1-cloud_0
93,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,62.97319,0.013473,cloud_0,access_0-edge_2
93,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,66.17604,0.004159,cloud_0,edge_4-cloud_0
93,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,61.48844,0.008751,cloud_0,access_0-edge_1
94,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,63.48091,0.00691,cloud_0,edge_2-cloud_0
94,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,64.40474,0.010317,cloud_0,edge_4-cloud_0
94,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,65.01804,0.009078,cloud_0,edge_1-cloud_0
95,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,68.74737,0.01033,cloud_0,edge_2-cloud_0
